epoch;accuracy;loss;precision;recall;val_accuracy;val_loss;val_precision;val_recall
0;0.686475396156311;0.5535967350006104;0.5506588220596313;0.8411274552345276;0.8413407802581787;0.36391839385032654;0.9497137069702148;0.7516160011291504
1;0.9130029678344727;0.255355566740036;0.9245607852935791;0.9042713642120361;0.8983240127563477;0.27053916454315186;0.9082832336425781;0.9034698009490967
2;0.9528688788414001;0.15063323080539703;0.9554539322853088;0.9612529277801514;0.8927374482154846;0.3376401364803314;0.8781099319458008;0.9198896884918213
3;0.9679582715034485;0.11512606590986252;0.9682545065879822;0.9720417857170105;0.8854748606681824;0.3732457756996155;0.9235231876373291;0.8555319309234619
4;0.9782041907310486;0.08229347318410873;0.9823172688484192;0.9821780920028687;0.8804469108581543;0.38611045479774475;0.904744029045105;0.860576331615448
5;0.9811847805976868;0.07423057407140732;0.9805935025215149;0.9844982624053955;0.8837988972663879;0.3675526976585388;0.9318009614944458;0.8470048308372498
6;0.9839791059494019;0.06378858536481857;0.9835402369499207;0.9845240712165833;0.8798882961273193;0.39486607909202576;0.8846790790557861;0.8852465748786926
7;0.9850968718528748;0.05898400768637657;0.9890497922897339;0.9855244159698486;0.8821229338645935;0.4039224088191986;0.8716745972633362;0.9092035293579102
8;0.9858420491218567;0.053911156952381134;0.9899774193763733;0.9877238869667053;0.875977635383606;0.43929344415664673;0.9096072316169739;0.8414334058761597
9;0.9858420491218567;0.05475909262895584;0.9897313117980957;0.9869818687438965;0.8821229338645935;0.4203506410121918;0.9162697196006775;0.8497753739356995
10;0.9865871667861938;0.04895075410604477;0.9886054396629333;0.9870325922966003;0.8804469108581543;0.40120092034339905;0.8614457249641418;0.9125551581382751
11;0.9884500503540039;0.04803841933608055;0.988882303237915;0.9898006916046143;0.8804469108581543;0.4364541471004486;0.9205857515335083;0.8459542989730835
12;0.9891952276229858;0.04852292686700821;0.9903205633163452;0.9884699583053589;0.875419020652771;0.5149516463279724;0.8529531359672546;0.9149322509765625
13;0.9875186085700989;0.045919038355350494;0.9868195652961731;0.9881999492645264;0.8849161863327026;0.3710253834724426;0.916528582572937;0.8693199753761292
14;0.9878911972045898;0.043996572494506836;0.9923166632652283;0.9908970594406128;0.867597758769989;0.5457495450973511;0.8333017826080322;0.9189850687980652
15;0.9862145781517029;0.050171107053756714;0.9871768951416016;0.9871563911437988;0.8877094984054565;0.41154608130455017;0.8729260563850403;0.9116492867469788
16;0.9867734909057617;0.04204034432768822;0.9872817993164062;0.9890308380126953;0.8927374482154846;0.3769976794719696;0.9092657566070557;0.8902190327644348
17;0.9864009022712708;0.037549372762441635;0.9890968203544617;0.9872585535049438;0.8821229338645935;0.4923962950706482;0.849723756313324;0.9237792491912842
18;0.9882637858390808;0.03547777980566025;0.9859085083007812;0.9888869524002075;0.8899441361427307;0.36942869424819946;0.9033137559890747;0.8839996457099915
19;0.9860283136367798;0.043036770075559616;0.9907920956611633;0.988186776638031;0.875419020652771;0.4804045855998993;0.840569794178009;0.9226601719856262
20;0.9884500503540039;0.037373654544353485;0.9897179007530212;0.9919071197509766;0.8877094984054565;0.4158439040184021;0.9249926805496216;0.8645524978637695
21;0.9877049326896667;0.03406837210059166;0.9921049475669861;0.9911633133888245;0.8804469108581543;0.39350834488868713;0.9304977059364319;0.8496795296669006
22;0.9882637858390808;0.03532327339053154;0.9907050728797913;0.9869652986526489;0.8782122731208801;0.5278446674346924;0.8493275046348572;0.9158360362052917
